Category,Description,Data.Household Weights(Gram),Data.Household Weight Description
ABALONE,"ABALONE,MIXED SPECIES,RAW",85.0,3 oz
ABALONE,"ABALONE,MXD SP,CKD,FRIED",85.0,3 oz
ABIYUCH,"ABIYUCH,RAW",114.0,.5 cup
ACEROLA,"ACEROLA,(WEST INDIAN CHERRY),RAW",98.0,1 cup
ACORN FLOUR,"ACORN FLOUR,FULL FAT",28.35,1 oz
ACORNS,"ACORNS,RAW",28.35,1 oz
ACORNS,"ACORNS,DRIED",28.35,1 oz
ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",29.53,1 fl oz
ALMOND BUTTER,"ALMOND BUTTER,PLN,WO/SALT",250.0,1 cup
ALMOND BUTTER,"ALMOND BUTTER,PLN,W/SALT",250.0,1 cup
ALMONDS,ALMONDS,95.0,"1 cup, ground"
ALMONDS,"ALMONDS,DRY RSTD,WO/SALT",138.0,"1 cup, whole kernels"
ALMONDS,"ALMONDS,DRY RSTD,W/SALT",138.0,"1 cup, whole kernels"
ALMONDS,"ALMONDS,HONEY RSTD,UNBLANCHED",144.0,"1 cup, whole kernels"
ALMONDS,"ALMONDS,BLANCHED",145.0,"1 cup, whole kernels"
ALMONDS,"ALMONDS,OIL RSTD,WO/SALT",157.0,"1 cup, whole kernels"
ALMONDS,"ALMONDS,OIL RSTD,W/SALT",157.0,"1 cup, whole kernels"
ALMONDS,ALMOND PASTE,227.0,"1 cup,  firmly packed"
AMARANTH,"AMARANTH,UNCKD",28.35,1 oz
AMARANTH GRAIN,"AMARANTH GRAIN,CKD",193.02,1 cup
AMARANTH LEAVES,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",132.0,1 cup
ANCHOVY,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",28.35,"1 oz, boneless"
ANCHOVY,"ANCHOVY,EUROPEAN,RAW",85.0,3 oz
APPLES,"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",60.0,1 cup
APPLES,"APPLES,DRIED,SULFURED,UNCKD",86.0,1 cup
APPLES,"APPLES,RAW,WITHOUT SKIN",110.0,"1 cup, slices"
APPLES,"APPLES,RAW,WITH SKIN",125.0,"1 cup, quartered or chopped"
APPLES,"APPLES,RAW,WO/ SKN,CKD,MICROWAVE",170.0,"1 cup, slices"
APPLES,"APPLES,RAW,WO/SKN,CKD,BLD",171.0,"1 cup, slices"
APPLES,"APPLES,FRZ,UNSWTND,UNHTD",173.0,"1 cup, slices"
APPLES,"APPLES,DEHYD (LO MOIST),SULFURED,STWD",193.0,1 cup
APPLES,"APPLES,CND,SWTND,SLICED,DRND,UNHTD",204.0,"1 cup, slices"
APPLES,"APPLES,CND,SWTND,SLICED,DRND,HTD",204.0,"1 cup, slices"
APPLES,"APPLES,FRZ,UNSWTND,HTD",206.0,"1 cup, slices"
APPLES,"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",255.0,1 cup
APPLES,"APPLES,DRIED,SULFURED,STWD,W/ SUGAR",280.0,1 cup
APPLESAUCE,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",243.79,1 cup
APPLESAUCE,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",245.5,1 cup
APRICOT NECTAR,"APRICOT NECTAR,CND,WO/ VIT C",251.0,1 cup
