Category,Description,Nutrient Data Bank Number,Data.Household Weights(Gram),Data.Household Weight Description
ABALONE,"ABALONE,MIXED SPECIES,RAW",15155,85,3 oz
ABALONE,"ABALONE,MXD SP,CKD,FRIED",15156,85,3 oz
ABIYUCH,"ABIYUCH,RAW",9427,114,.5 cup
ACEROLA,"ACEROLA,(WEST INDIAN CHERRY),RAW",9001,98,1 cup
ACORN FLOUR,"ACORN FLOUR,FULL FAT",12060,28.35,1 oz
ACORNS,"ACORNS,RAW",12058,28.35,1 oz
ACORNS,"ACORNS,DRIED",12059,28.35,1 oz
ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",14152,29.53,1 fl oz
ALMOND BUTTER,"ALMOND BUTTER,PLN,WO/SALT",12195,250,1 cup
ALMOND BUTTER,"ALMOND BUTTER,PLN,W/SALT",12695,250,1 cup
ALMONDS,ALMONDS,12061,95,"1 cup, ground"
ALMONDS,"ALMONDS,DRY RSTD,WO/SALT",12063,138,"1 cup, whole kernels"
ALMONDS,"ALMONDS,DRY RSTD,W/SALT",12563,138,"1 cup, whole kernels"
ALMONDS,"ALMONDS,HONEY RSTD,UNBLANCHED",12206,144,"1 cup, whole kernels"
ALMONDS,"ALMONDS,BLANCHED",12062,145,"1 cup, whole kernels"
ALMONDS,"ALMONDS,OIL RSTD,WO/SALT",12065,157,"1 cup, whole kernels"
ALMONDS,"ALMONDS,OIL RSTD,W/SALT",12565,157,"1 cup, whole kernels"
ALMONDS,ALMOND PASTE,12071,227,"1 cup,  firmly packed"
AMARANTH,"AMARANTH,UNCKD",19905,28.35,1 oz
AMARANTH GRAIN,"AMARANTH GRAIN,CKD",20001,193.02,1 cup
AMARANTH LEAVES,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",11700,132,1 cup
ANCHOVY,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",15002,28.35,"1 oz, boneless"
ANCHOVY,"ANCHOVY,EUROPEAN,RAW",15001,85,3 oz
APPLES,"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",9009,60,1 cup
APPLES,"APPLES,DRIED,SULFURED,UNCKD",9011,86,1 cup
APPLES,"APPLES,RAW,WITHOUT SKIN",9004,110,"1 cup, slices"
APPLES,"APPLES,RAW,WITH SKIN",9003,125,"1 cup, quartered or chopped"
