Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Ash,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Kilocalories,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Manganese,Data.Niacin,Data.Pantothenic Acid,Data.Protein,Data.Refuse Percentage,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Household Weights(Gram),Data.Household Weight Description,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
ABALONE,ABALONE MIXED SPECIES RAW,15155,0,1.57,0,0,6.01,85,65,0,105,0,0,0.04,1.5,3,17.1,0,2,0.1,44.8,0,0.19,74.56,0.107,0.104,0.149,0.76,85,3 oz,31,0.196,3.19,48,190,250,301,0.82,7,2,0.73,0.15,2,4,23
ABALONE,ABALONE MXD SP COOKED FRIED,15156,0,1.77,0,0,11.05,94,0,0,189,0,0,0.07,1.9,2.87,19.63,0,2,0.13,51.8,0,0.22,60.1,2.741,1.676,1.646,6.78,85,3 oz,37,0.228,3.8,56,217,284,591,0.95,5,2,0.69,0.15,1.8,0,0
ABIYUCH,ABIYUCH RAW,9427,0,0.9,60,0,17.6,0,0,5.300000191,69,0,0,0.182,0,0,1.5,0,0,0,0,8.550000191,0,79.9,0,0,0.014,0.1,114,.5 cup,8,0.057,1.61,24,47,304,20,0.31,100,5,0,0,54.1,0,0
ACEROLA,ACEROLA (WEST INDIAN CHERRY) RAW,9001,0,0.2,0,0,7.69,0,0,1.100000024,32,0,0,0,0.4,0.309,0.4,20,0,0.06,0.6,0,0.02,91.41,0.082,0.09,0.068,0.3,98,1 cup,12,0.086,0.2,18,11,146,7,0.1,767,38,0,0.009,1677.6,0,0
ACORN FLOUR,ACORN FLOUR FULL FAT,12060,0,1.69,0,0,54.65,0,0,0,501,0,0,1.743,2.382,0.931,7.49,0,0,0.154,0,0,0.146,6,19.11,5.813,3.923,30.17,28.35,1 oz,43,0.611,1.21,110,103,712,0,0.64,51,3,0,0.688,0,0,0
ACORNS,ACORNS RAW,12058,0,1.35,0,0,40.75,0,0,0,387,0,0,1.337,1.827,0.715,6.15,38,0,0.118,0,0,0.112,27.9,15.109,4.596,3.102,23.86,28.35,1 oz,41,0.621,0.79,62,79,539,0,0.51,39,2,0,0.528,0,0,0
ACORNS,ACORNS DRIED,12059,0,1.78,0,0,53.66,0,0,0,509,0,0,1.363,2.406,0.94,8.1,38,0,0.154,0,0,0.149,5.06,19.896,6.052,4.084,31.41,28.35,1 oz,54,0.818,1.04,82,103,709,0,0.67,0,0,0,0.695,0,0,0
ALCOHOLIC BEV,ALCOHOLIC BEV WINE TABLE RED BURGUNDY,14152,0,0.34,0,0,3.69,0,0,0,86,0,0,0,0,0,0.07,0,0,0,0,0,0,85.62,0,0,0,0,29.53,1 fl oz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMOND BUTTER,ALMOND BUTTER PLAIN WITHOUT SALT,12195,0,3.6,0,0,21.22,0,0,3.700000048,633,0,0,2.354,2.875,0.259,15.08,0,0,0.611,0,0,0.133,1,38.374,12.402,5.602,59.1,250,1 cup,270,0.9,3.7,303,523,758,11,3.05,0,0,0,0.076,0.7,0,0
ALMOND BUTTER,ALMOND BUTTER PLAIN WITH SALT,12695,0,3.6,1,0,21.22,0,52,3.700000048,633,1,0,2.354,2.875,0.259,15.08,0,0,0.611,4.9,4.900000095,0.133,1,38.374,12.402,5.602,59.1,250,1 cup,270,0.9,3.7,303,523,758,450,3.05,1,0,0,0.076,0.7,26,0
